|Happy|Angry|Surprise|Sad|Fear|emotion
0|0.31|0.06|0.19|0.12|0.31|Happy
1|0.0|0.0|0.0|0.0|1.0|Fear
2|0.11|0.0|0.11|0.44|0.33|Sad
3|0.29|0.0|0.21|0.21|0.29|Happy
4|0.0|0.0|0.0|0.0|0.0|Happy
5|0.25|0.0|0.25|0.38|0.12|Sad
6|0.23|0.08|0.15|0.46|0.08|Sad
7|0.0|0.0|0.28|0.56|0.17|Sad
8|0.15|0.03|0.12|0.33|0.36|Fear
9|0.0|0.0|0.0|1.0|0.0|Sad
10|0.0|0.0|0.0|0.0|1.0|Fear
11|0.83|0.0|0.0|0.17|0.0|Happy
12|0.33|0.11|0.22|0.0|0.33|Happy
13|0.09|0.0|0.09|0.18|0.64|Fear
14|0.0|0.0|0.33|0.67|0.0|Sad
15|0.2|0.07|0.2|0.27|0.27|Sad
16|0.0|0.0|0.0|0.0|1.0|Fear
17|0.8|0.0|0.1|0.1|0.0|Happy
18|0.42|0.0|0.08|0.25|0.25|Happy
19|0.0|0.0|0.0|0.0|0.0|Happy
20|1.0|0.0|0.0|0.0|0.0|Happy
21|0.09|0.09|0.27|0.36|0.18|Sad
22|0.22|0.0|0.33|0.0|0.44|Fear
23|0.0|0.0|0.0|1.0|0.0|Sad
24|0.12|0.09|0.15|0.36|0.27|Sad
25|0.19|0.05|0.29|0.29|0.19|Surprise
26|0.24|0.1|0.24|0.1|0.33|Fear
27|0.33|0.07|0.0|0.4|0.2|Sad
28|0.25|0.0|0.38|0.12|0.25|Surprise
29|0.06|0.0|0.06|0.5|0.38|Sad
30|0.0|0.13|0.33|0.4|0.13|Sad
31|0.0|0.0|0.2|0.6|0.2|Sad
32|0.0|0.0|0.0|0.0|0.0|Happy
33|0.0|0.0|0.5|0.5|0.0|Surprise
34|0.12|0.0|0.25|0.25|0.38|Fear
35|0.25|0.0|0.05|0.3|0.4|Fear
36|0.06|0.12|0.19|0.38|0.25|Sad
37|0.5|0.17|0.33|0.0|0.0|Happy
38|0.0|0.0|0.0|0.0|0.0|Happy
39|0.17|0.08|0.08|0.5|0.17|Sad
40|0.38|0.0|0.0|0.25|0.38|Happy
41|0.13|0.0|0.39|0.26|0.22|Surprise
42|0.0|0.0|0.29|0.57|0.14|Sad
43|0.12|0.06|0.29|0.24|0.29|Surprise
44|0.36|0.09|0.18|0.27|0.09|Happy
45|0.23|0.0|0.31|0.23|0.23|Surprise
46|0.5|0.0|0.0|0.5|0.0|Happy
47|0.29|0.0|0.29|0.29|0.14|Happy
48|0.0|0.0|0.42|0.33|0.25|Surprise
49|0.43|0.0|0.29|0.14|0.14|Happy
50|0.5|0.0|0.0|0.5|0.0|Happy
51|0.42|0.08|0.17|0.17|0.17|Happy
52|0.5|0.0|0.0|0.0|0.5|Happy
53|0.29|0.0|0.27|0.22|0.22|Happy
54|0.33|0.0|0.33|0.33|0.0|Happy
55|0.56|0.11|0.0|0.22|0.11|Happy
56|0.26|0.0|0.42|0.16|0.16|Surprise
57|0.31|0.0|0.38|0.21|0.1|Surprise
58|0.0|0.0|0.0|1.0|0.0|Sad
59|0.0|0.0|0.0|0.0|0.0|Happy
60|0.38|0.05|0.41|0.11|0.05|Surprise
61|0.0|0.0|0.0|0.0|0.0|Happy
62|0.0|0.0|0.0|0.0|0.0|Happy
63|0.0|0.0|0.25|0.5|0.25|Sad
64|0.22|0.04|0.39|0.09|0.26|Surprise
65|1.0|0.0|0.0|0.0|0.0|Happy
66|0.12|0.06|0.12|0.24|0.47|Fear
67|0.42|0.11|0.21|0.11|0.16|Happy
68|0.29|0.0|0.0|0.29|0.43|Fear
69|0.38|0.06|0.06|0.19|0.31|Happy
70|0.4|0.0|0.0|0.4|0.2|Happy
71|0.0|0.0|0.5|0.0|0.5|Surprise
72|0.14|0.14|0.29|0.43|0.0|Sad
73|0.43|0.0|0.36|0.21|0.0|Happy
74|0.0|0.0|1.0|0.0|0.0|Surprise
75|0.0|0.15|0.0|0.15|0.69|Fear
76|0.38|0.0|0.15|0.15|0.31|Happy
77|0.08|0.15|0.23|0.23|0.31|Fear
