|neg|neu|pos|compound
0|0.106|0.596|0.298|0.9808
1|0.524|0.476|0.0|-0.296
2|0.048|0.551|0.401|0.9604
3|0.081|0.505|0.414|0.9934
4|0.0|1.0|0.0|0.0
5|0.132|0.677|0.191|0.3818
6|0.132|0.673|0.195|0.7506
7|0.142|0.751|0.106|-0.6869
8|0.028|0.77|0.202|0.993
9|0.0|0.811|0.189|0.2732
10|0.688|0.312|0.0|-0.296
11|0.0|0.45|0.55|0.9816
12|0.0|0.586|0.414|0.9612
13|0.115|0.61|0.275|0.8917
14|0.0|0.422|0.578|0.9136
15|0.101|0.69|0.209|0.8169
16|0.524|0.476|0.0|-0.296
17|0.066|0.454|0.48|0.9805
18|0.057|0.569|0.374|0.9403
19|0.688|0.312|0.0|-0.296
20|0.0|0.826|0.174|0.6369
21|0.069|0.664|0.267|0.8957
22|0.088|0.626|0.286|0.92
23|0.151|0.548|0.301|0.296
24|0.071|0.631|0.297|0.9871
25|0.099|0.588|0.313|0.9747
26|0.023|0.737|0.24|0.9769
27|0.094|0.781|0.124|0.3892
28|0.043|0.71|0.247|0.8541
29|0.166|0.631|0.203|0.7674
30|0.143|0.646|0.211|0.6705
31|0.0|0.29|0.71|0.9287
32|0.0|1.0|0.0|0.0
33|0.0|1.0|0.0|0.0
34|0.023|0.665|0.311|0.9432
35|0.061|0.642|0.297|0.9906
36|0.16|0.648|0.192|0.5994
37|0.0|0.47|0.53|0.9081
38|0.0|1.0|0.0|0.0
39|0.074|0.705|0.221|0.7717
40|0.0|0.401|0.599|0.9761
41|0.054|0.718|0.228|0.962
42|0.101|0.676|0.223|0.6679
43|0.032|0.609|0.359|0.9796
44|0.029|0.574|0.397|0.9769
45|0.044|0.658|0.298|0.9884
46|0.0|0.615|0.385|0.3612
47|0.087|0.574|0.34|0.9729
48|0.086|0.668|0.246|0.7964
49|0.0|0.455|0.545|0.9674
50|0.088|0.577|0.335|0.7506
51|0.0|0.573|0.427|0.973
52|0.143|0.584|0.273|0.4588
53|0.047|0.558|0.395|0.9978
54|0.0|0.522|0.478|0.6705
55|0.029|0.554|0.417|0.9612
56|0.022|0.744|0.234|0.9922
57|0.043|0.546|0.411|0.9937
58|0.0|1.0|0.0|0.0
59|0.688|0.312|0.0|-0.296
60|0.0|0.535|0.465|0.9987
61|0.688|0.312|0.0|-0.296
62|0.688|0.312|0.0|-0.296
63|0.12|0.648|0.231|0.296
64|0.105|0.713|0.182|0.8506
65|0.0|0.442|0.558|0.9274
66|0.081|0.716|0.203|0.8936
67|0.048|0.595|0.357|0.9902
68|0.164|0.781|0.055|-0.8225
69|0.079|0.599|0.322|0.9546
70|0.0|0.551|0.449|0.9382
71|0.0|0.776|0.224|0.6369
72|0.119|0.673|0.208|0.2023
73|0.296|0.44|0.264|-0.7106
74|0.0|1.0|0.0|0.0
75|0.27|0.584|0.146|-0.8979
76|0.046|0.566|0.388|0.9601
77|0.115|0.73|0.155|0.5836
78|0.075|0.708|0.217|0.9643
